"","Estimate","StdError","tvalue","pvalue"
"(Intercept)",-154393.182475472,74659.1456110725,-2.06797414049933,0.0386490052554677
"PAR",2157.08428787014,797.253839949477,2.70564302080607,0.00682017867409113
"year",76.4931361589515,37.0209788834332,2.06621052349272,0.0388151652953695
"Treatment001",1726498.68351534,236161.164718018,7.31067991461178,2.70863741098022e-13
"Treatment004",2212396.53383342,256530.475837179,8.62430292780353,6.68622084287286e-18
"Treatment005",900676.265472746,189886.779666408,4.7432278700763,2.11079535787408e-06
"Treatment006",530935.601312001,74572.0775489292,7.1197641096111,1.09968871685152e-12
"TreatmentCTRL_Replicate",95.9871178781892,21.2897480866591,4.5086074991342,6.54434757752102e-06
"distance_to_LU16_meters",6.93093934281989,2.83767609084392,2.44247021891729,0.0145915223648187
"VPD:SM",97.380162925851,52.3961525531428,1.85853651805985,0.0631003594341689
"VPD:PAR",-1.15441990793169,0.42292707622772,-2.72959565092992,0.00634403735035919
"SM:PAR",-4295.59162484862,1793.69188298377,-2.39483250473486,0.0166326286572334
"VPD:year",427727.084433672,116940.273982864,3.65765420129211,0.000254867568642822
"PAR:year",-1.0705442574262,0.395147895514785,-2.70922424129713,0.00674700647653435
"VPD:Treatment001",133.726407085653,58.8396430540207,2.27272634816766,0.0230480696009744
"VPD:Treatment002",207.711598204501,76.2905277136075,2.72263942103329,0.00647913628953159
"VPD:Treatment003",296.961368660983,61.9247574845876,4.79551928378392,1.62849470097958e-06
"VPD:Treatment005",-77.3644080940866,42.5902795947941,-1.81648039952156,0.0693043531984323
"VPD:Treatment006",-541.959350815571,77.4298404505241,-6.99936029394082,2.61262308195961e-12
"SM:Treatment005",-639726.384710557,194131.940483937,-3.29531752021759,0.000983978348737491
"SM:Treatment006",-1501674.04865038,222338.009950208,-6.75401407517624,1.45815383736282e-11
"PAR:Treatment005",-3772.3205144395,903.579201866851,-4.17486425832473,2.98807563665456e-05
"PAR:Treatment006",-5368.86732005284,807.661482430509,-6.64742275921865,3.02176354821646e-11
"year:Treatment001",-855.380877813274,117.0647882759,-7.30690150651704,2.78576408260733e-13
"year:Treatment004",-1096.174999677,127.162127781558,-8.62029457040881,6.92402225688594e-18
"year:Treatment005",-446.770733015653,94.1285315932127,-4.7463901269216,2.07809622959048e-06
"year:Treatment006",-263.551885207045,36.9637252833417,-7.13001417435105,1.02092199797955e-12
"PAR:distance_to_LU16_meters",-0.075311510151936,0.0302838391260751,-2.48685478213002,0.0128919312165043
"year:distance_to_LU16_meters",-0.00344126433735532,0.00140712384996484,-2.44560159892201,0.0144654407914693
"Treatment001:distance_to_LU16_meters",-7.18578313002893,3.82453408727635,-1.87886497179747,0.060270353650371
"Treatment003:distance_to_LU16_meters",-7.9094970828271,3.94352538612057,-2.00569194017742,0.0448959912839936
"Treatment005:distance_to_LU16_meters",-18.1140583583443,4.12019874435176,-4.39640402861058,1.10348412011422e-05
"Latitude:Longitude",0.119332814308879,0.0636997115161024,1.8733650666332,0.0610254323114885
"distance_to_LU16_meters:Longitude",0.0189716519590399,0.00817019655976699,2.32205575719723,0.0202350348449699
"Treatment001:Latitude",-44419.6520193653,6001.82410592174,-7.40102529421654,1.37843250051042e-13
"Treatment003:Latitude",-666.068600085994,344.670856091656,-1.93247728467321,0.053307825275161
"Treatment004:Latitude",-60110.11359468,6456.6327889722,-9.30982379814861,1.34472806739215e-20
"Treatment005:Latitude",-15359.6839712242,4514.47075714704,-3.40232217628339,0.000668826240748165
"Treatment006:Latitude",-479.239417060464,150.641623988472,-3.18132136637837,0.00146719228117353
"TreatmentCTRL_Replicate:Latitude",-2.64715372108092,0.555743084958531,-4.76326884261358,1.91162977724308e-06
"Treatment001:Longitude",20681.7180060204,2786.50067554031,7.42211124783243,1.1760250058777e-13
"Treatment002:Longitude",574.230642620124,279.921400094301,2.05139958012026,0.0402346864989635
"Treatment004:Longitude",27846.0871896328,2993.24607393749,9.30297292698105,1.43408424698129e-20
"Treatment005:Longitude",7073.10196788964,2089.17178065175,3.38560095124541,0.000710923016555385
"Treatment006:Longitude",435.352835295121,103.790981016093,4.19451508245808,2.74057031509575e-05
"TreatmentCTRL_Replicate:Longitude",1.23198599255355,0.25631290031624,4.80657037173518,1.5411000435565e-06
"VPD:SM:PAR",0.923571665622152,0.43246348979087,2.13560609721937,0.0327177185353852
"VPD:SM:year",-0.0476560706619993,0.0259060823026139,-1.83957072726473,0.0658388495196262
"VPD:PAR:year",0.000574097016611826,0.000209652675098869,2.73832430872199,0.00617810464887682
"VPD:SM:Treatment001",-759.399027226582,125.808638605286,-6.03614374692609,1.59256290328262e-09
"VPD:SM:Treatment002",-923.838605246952,206.665428302833,-4.47021358547315,7.83605247152665e-06
"VPD:SM:Treatment003",-1110.90579300651,131.184002790296,-8.46830230346266,2.57528853656227e-17
"VPD:SM:Treatment004",-660.918721400803,288.547631925091,-2.29050128393493,0.0219975628167418
"VPD:SM:Treatment005",-173.95458696892,38.949480780595,-4.46615932953811,7.98587277462672e-06
"VPD:SM:Treatment006",1723.87754395718,242.334492215086,7.11362847360228,1.14965989018381e-12
"VPD:PAR:Treatment002",-1.48105138831528,0.818397682054033,-1.8096964602809,0.0703505346009902
"VPD:PAR:Treatment003",-2.42846391625428,0.662028085318511,-3.66821887184123,0.000244569500524073
"VPD:PAR:Treatment005",1.38931648489272,0.450805870465479,3.08185091613423,0.00205860589884694
"VPD:PAR:Treatment006",6.13660521003308,0.84263480852908,7.2826391076168,3.33501607424415e-13
"SM:PAR:Treatment005",8285.66931688468,2027.50375147948,4.08663575139556,4.38544768941221e-05
"SM:PAR:Treatment006",16933.5552492351,2403.66656496274,7.04488529984508,1.88671884063855e-12
"VPD:year:Treatment001",-427727.17828008,116940.273984528,-3.65765500375578,0.000254866771210439
"VPD:year:Treatment002",-427727.214988166,116940.273978947,-3.6576553178349,0.000254866459101172
"VPD:year:Treatment003",-427727.259208404,116940.273980808,-3.65765569592048,0.000254866083387356
"VPD:year:Treatment004",-427727.189252994,116940.273985188,-3.65765509756861,0.000254866677985949
"VPD:year:Treatment005",-427727.073741908,116940.273996073,-3.65765410944967,0.000254867659909576
