"","Estimate","StdError","tvalue","pvalue"
"year2018",81896.0645242586,39785.7564930837,2.0584267271252,0.0395636760339313
"r",0.158991337627312,0.0157598878578469,10.088354629259,7.20836900022979e-24
"year2018:Treatment006",-89402.7918605783,40258.8974824394,-2.22069647832693,0.026384036139303
"Latitude:r",-0.00422857829078075,0.000418035736057689,-10.1153512153258,5.48200458315094e-24
"Longitude:r",0.00194125904537785,0.000193561898611159,10.0291382720811,1.31086086482562e-23
"distance_to_LU16_meters:r",-4.50810122011243e-06,6.40191321925838e-07,-7.04180307622893,1.9667784564445e-12
"Treatment001:r",-0.152165609770202,0.0186926987089549,-8.14037673957191,4.19764877259742e-16
"Treatment002:r",-0.0714390853088109,0.0214092312942563,-3.33683560735674,0.000849111311129653
"Treatment003:r",-0.1476699192265,0.0185644985247879,-7.95442543354061,1.90658166950485e-15
"Treatment004:r",-0.127410724124701,0.0178118858336985,-7.15312939428634,8.81098281141576e-13
"Treatment005:r",-0.0878672101830186,0.0186685825487805,-4.70668889581863,2.53663225952039e-06
"year2018:Latitude",-2175.46340512473,1059.12323279644,-2.05402292930614,0.039988010309803
"year2018:Longitude",1007.70229953722,487.629315705029,2.06653346524144,0.0387925308657328
"year2018:r",-0.103877389599287,0.0228887307729648,-4.53836390622334,5.70624352029464e-06
"Latitude:Longitude:r",-5.16357251822373e-05,5.13540184226647e-06,-10.0548558356727,1.01144666056964e-23
"Latitude:distance_to_LU16_meters:r",1.09024361929767e-07,1.49470778744471e-08,7.29402514963482,3.13438090262324e-13
"Longitude:distance_to_LU16_meters:r",-5.72527692224419e-08,7.27223253076401e-09,-7.87279133061866,3.66579946627634e-15
"distance_to_LU16_meters:r:theta",-1.80043154088498e-08,6.50197663709877e-09,-2.76905261488043,0.00562776005513685
"Treatment001:Latitude:r",0.00402023277708132,0.00049360906520782,8.1445683648227,4.05529042681942e-16
"Treatment002:Latitude:r",0.00187992512022531,0.000568411485797831,3.30733133864566,0.000943755635049114
"Treatment003:Latitude:r",0.00389911845399637,0.000490501612004134,7.94924697202321,1.98769284104265e-15
"Treatment004:Latitude:r",0.00338526216001606,0.000471359090479981,7.1819176258357,7.14483074217724e-13
"Treatment005:Latitude:r",0.00232911713084368,0.000498913459452908,4.66837902789337,3.05794426939516e-06
"Treatment001:Longitude:r",-0.00185603697572413,0.000230029588880315,-8.0686879664417,7.55311241667441e-16
"Treatment002:Longitude:r",-0.000852680527394101,0.000263108947393259,-3.24078879050674,0.00119417982830644
"Treatment003:Longitude:r",-0.00180273043340354,0.000228416202185053,-7.89230543262007,3.13731182780092e-15
"Treatment004:Longitude:r",-0.00154009537189614,0.000218555341395199,-7.04670662389024,1.89891424132241e-12
"Treatment005:Longitude:r",-0.00107538072336168,0.000229022482847121,-4.6955246925671,2.6790185458197e-06
"Treatment001:distance_to_LU16_meters:r",4.64918287359528e-06,7.56919542643207e-07,6.14224182580894,8.30882759706742e-10
"Treatment002:distance_to_LU16_meters:r",4.25400901247312e-06,8.18502328006263e-07,5.19730838498063,2.04422837665943e-07
"Treatment003:distance_to_LU16_meters:r",4.18485534584837e-06,7.5475021189448e-07,5.54468919636879,2.98651762713301e-08
"Treatment004:distance_to_LU16_meters:r",2.48062215413791e-06,7.49327687338627e-07,3.31046376111937,0.000933262393255252
"Treatment003:r:theta",-0.000878471837801823,0.000272561376498075,-3.22302392616522,0.00127072819102228
"Treatment005:r:theta",0.000849476246434126,0.000259911014374393,3.26833492793223,0.00108386885499917
"year2018:Latitude:Longitude",-26.8075324038176,12.9812246122711,-2.06510042037765,0.0389279111039691
"year2018:Latitude:r",0.00285763904895464,0.000607233824120701,4.70599452046765,2.54527210916462e-06
"year2018:Longitude:r",-0.00128326326606135,0.000281082495042394,-4.56543288427764,5.0179363692839e-06
"year2018:distance_to_LU16_meters:r",2.2142340246538e-06,9.03410235228738e-07,2.45097292272006,0.0142565931131703
"year2018:Treatment006:Latitude",2367.71978789645,1071.66587719868,2.20938245611183,0.0271607045068446
"year2018:Treatment006:Longitude",-1096.52047777722,493.47359255004,-2.22204489628496,0.0262927643984033
"year2018:Treatment001:r",0.0841245794689576,0.0269384056310266,3.12284923692982,0.0017939589968122
"year2018:Treatment003:r",0.0634832739098845,0.026718401740907,2.37601315099207,0.0175113335426588
"year2018:Treatment004:r",0.0581039055153425,0.0256798313189825,2.26262800536358,0.0236706008070732
"Latitude:Longitude:distance_to_LU16_meters:r",1.38885728962745e-09,1.73051695136154e-10,8.02567861895094,1.07186361807274e-15
"Latitude:distance_to_LU16_meters:r:theta",5.49701217296916e-10,1.54119220991583e-10,3.56672719833522,0.000362413729335736
"Longitude:distance_to_LU16_meters:r:theta",-1.96048697431798e-10,7.62492614118759e-11,-2.57115536336543,0.0101440111748785
"Treatment001:Latitude:Longitude:r",4.90409641898731e-05,6.07483917713058e-06,8.07280040836198,7.30381525052759e-16
"Treatment002:Latitude:Longitude:r",2.24420777940635e-05,6.9857520112947e-06,3.21255002436082,0.00131795748212592
"Treatment003:Latitude:Longitude:r",4.76031002226771e-05,6.03574933373837e-06,7.88685838170702,3.27677367431608e-15
"Treatment004:Latitude:Longitude:r",4.09265024971782e-05,5.78491569680364e-06,7.07469298468628,1.5533625788158e-12
"Treatment005:Latitude:Longitude:r",2.85125013949705e-05,6.12198193303184e-06,4.65739718066271,3.22541351674607e-06
"Treatment001:Latitude:distance_to_LU16_meters:r",-1.11891522508603e-07,1.834075801322e-08,-6.10070327671035,1.07780611945357e-09
"Treatment002:Latitude:distance_to_LU16_meters:r",-1.01679240092074e-07,2.00493700285567e-08,-5.0714431399715,3.98765969267406e-07
"Treatment003:Latitude:distance_to_LU16_meters:r",-1.004874233337e-07,1.82794890275505e-08,-5.4972774776279,3.90987565314849e-08
"Treatment004:Latitude:distance_to_LU16_meters:r",-5.5390047419194e-08,1.81305387475084e-08,-3.05506902969478,0.00225340732357221
"Treatment001:Longitude:distance_to_LU16_meters:r",5.82892435624637e-08,8.79370202758998e-09,6.62852156913925,3.48771474479e-11
"Treatment002:Longitude:distance_to_LU16_meters:r",5.41408213305133e-08,9.60386044864767e-09,5.6374019197808,1.7524630982065e-08
"Treatment003:Longitude:distance_to_LU16_meters:r",5.26234937290998e-08,8.76687734729359e-09,6.00253564005263,1.9801807749931e-09
"Treatment004:Longitude:distance_to_LU16_meters:r",3.08053477399561e-08,8.69943677181519e-09,3.54107381293472,0.000399517547255211
"Treatment003:Latitude:r:theta",2.25544756237382e-05,7.34107463789793e-06,3.07236702202997,0.00212688334460881
